"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"AGF","3-0","Næstved IF","9400","Lars Gerner","Århus Stadion"
1991-03-16,"Herfølge BK","5-2","Silkeborg IF","1097","Knud Erik Fisker","Herfølge Stadion"
1991-03-16,"Ikast FS","1-3","OB","2306","Peter Mikkelsen","Ikast Stadion"
1991-03-16,"Vejle BK","3-3","Viborg FF","3405","Jørn West Larsen","Vejle Stadion"
1991-03-16,"AaB","3-0","Ikast FS","6050","Jørgen Johansen","Aalborg Stadion"
1991-03-16,"Brøndby IF","4-0","Vejle BK","10121","Steen Pedersen","Brøndby Stadion"
1991-03-16,"Næstved IF","1-4","Lyngby FC","2207","Jørn West Larsen","Næstved Stadion"
1991-03-16,"OB","0-2","Herfølge BK","3591","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"Silkeborg IF","0-3","AGF","7724","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"Viborg FF","2-2","FC København","2736","Knud Stadsgaard","Viborg Stadion"
1991-03-16,"Brøndby IF","4-0","Viborg FF","6038","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"Herfølge BK","1-1","AaB","1275","Steen Pedersen","Herfølge Stadion"
1991-03-16,"AGF","2-2","OB","15500","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"Ikast FS","4-2","FC København","2300","Finn Lambek","Ikast Stadion"
1991-03-16,"Lyngby FC","1-2","Silkeborg IF","2206","Peter Mikkelsen","Lyngby Stadion"
1991-03-16,"Vejle BK","2-0","Næstved IF","2808","Knud Erik Fisker","Vejle Stadion"
1991-03-16,"FC København","0-0","Herfølge BK","4837","Claus Bo Larsen","Parken"
1991-03-16,"Ikast FS","1-1","Viborg FF","2856","Steen Pedersen","Ikast Stadion"
1991-03-16,"Næstved IF","0-1","Brøndby IF","5208","Knud Stadsgaard","Næstved Stadion"
1991-03-16,"OB","2-2","Lyngby FC","3520","Lars Gerner","Odense Stadion"
1991-03-16,"Silkeborg IF","1-2","Vejle BK","4115","Jørgen Johansen","Silkeborg Stadion"
1991-03-16,"AaB","2-4","AGF","11850","Finn Lambek","Aalborg Stadion"
1991-03-16,"AGF","2-0","FC København","10600","Jørgen Johansen","Århus Stadion"
1991-03-16,"Brøndby IF","4-1","Silkeborg IF","8560","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"Lyngby FC","0-0","AaB","1047","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Vejle BK","1-1","OB","2489","Finn Lambek","Vejle Stadion"
1991-03-16,"Herfølge BK","1-0","Ikast FS","1119","Knud Erik Fisker","Herfølge Stadion"
1991-03-16,"Viborg FF","4-0","Næstved IF","1572","Jørn West Larsen","Viborg Stadion"
1991-03-16,"OB","0-3","Brøndby IF","4715","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"FC København","2-2","Lyngby FC","5001","Peter Mikkelsen","Parken"
1991-03-16,"Herfølge BK","3-3","Viborg FF","817","Jørgen Johansen","Herfølge Stadion"
1991-03-16,"Ikast FS","2-2","AGF","3687","Peter Mikkelsen","Ikast Stadion"
1991-03-16,"Silkeborg IF","5-0","Næstved IF","2337","Steen Pedersen","Silkeborg Stadion"
1991-03-16,"AaB","1-0","Vejle BK","4150","Jørn West Larsen","Aalborg Stadion"
1991-03-16,"AGF","3-0","Herfølge BK","8600","Finn Lambek","Århus Stadion"
1991-03-16,"Brøndby IF","1-0","AaB","13198","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"Lyngby FC","3-2","Ikast FS","868","Knud Stadsgaard","Lyngby Stadion"
1991-03-16,"Næstved IF","0-4","OB","1869","Knud Erik Fisker","Næstved Stadion"
1991-03-16,"Vejle BK","0-1","FC København","3234","Lars Gerner","Vejle Stadion"
1991-03-16,"Viborg FF","0-3","Silkeborg IF","2852","Claus Bo Larsen","Viborg Stadion"
1991-03-16,"Brøndby IF","1-0","Ikast FS","11090","Jørgen Johansen","Brøndby Stadion"
1991-03-16,"Lyngby FC","0-1","AGF","4427","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Næstved IF","2-2","FC København","3620","Claus Bo Larsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","2-1","AaB","6682","Lars Gerner","Silkeborg Stadion"
1991-03-16,"Vejle BK","2-1","Herfølge BK","2678","Knud Stadsgaard","Vejle Stadion"
1991-03-16,"Viborg FF","2-1","OB","1887","Jørn West Larsen","Viborg Stadion"
1991-03-16,"Ikast FS","2-1","Vejle BK","1977","Knud Erik Fisker","Ikast Stadion"
1991-03-16,"FC København","0-3","Brøndby IF","39640","Peter Mikkelsen","Parken"
1991-03-16,"AGF","1-1","Viborg FF","9000","Lars Gerner","Århus Stadion"
1991-03-16,"Herfølge BK","2-2","Lyngby FC","932","Steen Pedersen","Herfølge Stadion"
1991-03-16,"OB","1-0","Silkeborg IF","4452","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"AaB","4-0","Næstved IF","4300","Finn Lambek","Aalborg Stadion"
1991-03-16,"AGF","1-1","Herfølge BK","8000","Claus Bo Larsen","Århus Stadion"
1991-03-16,"Brøndby IF","1-1","Viborg FF","8907","Finn Lambek","Brøndby Stadion"
1991-03-16,"Ikast FS","1-1","AaB","2391","Jørn West Larsen","Ikast Stadion"
1991-03-16,"Vejle BK","1-2","FC København","2837","Jørgen Johansen","Vejle Stadion"
1991-03-16,"Lyngby FC","2-3","Silkeborg IF","1053","Lars Gerner","Lyngby Stadion"
1991-03-16,"Næstved IF","1-1","OB","1384","Steen Pedersen","Næstved Stadion"
1991-03-16,"FC København","1-1","Næstved IF","5795","Kim Milton Nielsen","Parken"
1991-03-16,"Herfølge BK","0-0","Brøndby IF","4882","Lars Gerner","Herfølge Stadion"
1991-03-16,"OB","2-0","Ikast FS","3742","Finn Lambek","Odense Stadion"
1991-03-16,"Silkeborg IF","2-1","AGF","7609","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"Viborg FF","0-2","Lyngby FC","1528","Anders H. Mosegaard","Viborg Stadion"
1991-03-16,"AaB","2-0","Vejle BK","6050","Steen Pedersen","Aalborg Stadion"
1991-03-16,"AGF","3-1","Næstved IF","10400","Jørgen Johansen","Århus Stadion"
1991-03-16,"Brøndby IF","6-0","Vejle BK","10150","Jørn West Larsen","Brøndby Stadion"
1991-03-16,"FC København","2-0","Viborg FF","5287","Knud Erik Fisker","Parken"
1991-03-16,"Ikast FS","0-5","Lyngby FC","2161","Claus Bo Larsen","Ikast Stadion"
1991-03-16,"OB","5-1","Herfølge BK","3441","Anders H. Mosegaard","Odense Stadion"
1991-03-16,"AaB","0-1","Silkeborg IF","7950","Kim Milton Nielsen","Aalborg Stadion"
1991-03-16,"AGF","1-1","Ikast FS","8600","Knud Stadsgaard","Århus Stadion"
1991-03-16,"FC København","2-1","Herfølge BK","5343","Claus Bo Larsen","Parken"
1991-03-16,"Lyngby FC","1-1","Vejle BK","2052","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Næstved IF","0-1","Brøndby IF","7138","Steen Pedersen","Næstved Stadion"
1991-03-16,"Silkeborg IF","1-1","OB","5997","Svend Erik Christensen","Silkeborg Stadion"
1991-03-16,"Viborg FF","0-2","AaB","4328","Peter Mikkelsen","Viborg Stadion"
1991-03-16,"Lyngby FC","4-0","FC København","6820","Lars Gerner","Lyngby Stadion"
1991-03-16,"Næstved IF","0-2","Ikast FS","1853","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"OB","2-0","Brøndby IF","10919","Knud Erik Fisker","Odense Stadion"
1991-03-16,"Silkeborg IF","1-0","Herfølge BK","3414","Jørn West Larsen","Silkeborg Stadion"
1991-03-16,"Vejle BK","0-1","Viborg FF","3060","Anders H. Mosegaard","Vejle Stadion"
1991-03-16,"AaB","2-1","AGF","11750","Finn Lambek","Aalborg Stadion"
1991-03-16,"AGF","2-1","FC København","8600","Peter Mikkelsen","Århus Stadion"
1991-03-16,"Brøndby IF","1-2","Lyngby FC","14332","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"Herfølge BK","2-2","Viborg FF","704","Knud Stadsgaard","Herfølge Stadion"
1991-03-16,"Ikast FS","1-2","Silkeborg IF","3297","Steen Pedersen","Ikast Stadion"
1991-03-16,"Næstved IF","1-0","Vejle BK","1284","Jørgen Johansen","Næstved Stadion"
1991-03-16,"OB","5-1","AaB","4241","Jørn West Larsen","Odense Stadion"
1991-03-16,"Brøndby IF","2-0","Ikast FS","6990","Lars Gerner","Brøndby Stadion"
1991-03-16,"FC København","1-0","Silkeborg IF","5314","Peter Mikkelsen","Parken"
1991-03-16,"Herfølge BK","1-1","Lyngby FC","826","Kim Milton Nielsen","Herfølge Stadion"
1991-03-16,"Vejle BK","2-0","OB","3547","Finn Lambek","Vejle Stadion"
1991-03-16,"Viborg FF","0-0","AGF","4852","Jørn West Larsen","Viborg Stadion"
1991-03-16,"AaB","2-0","Næstved IF","5125","Anders H. Mosegaard","Aalborg Stadion"
1991-03-16,"AGF","3-3","Brøndby IF","19500","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"FC København","3-1","AaB","10547","Svend Erik Christensen","Parken"
1991-03-16,"Herfølge BK","4-1","Ikast FS","911","Jørgen Johansen","Herfølge Stadion"
1991-03-16,"Lyngby FC","0-1","OB","2638","Peter Mikkelsen","Lyngby Stadion"
1991-03-16,"Silkeborg IF","3-1","Vejle BK","3926","Knud Stadsgaard","Silkeborg Stadion"
1991-03-16,"Viborg FF","6-2","Næstved IF","1702","Finn Lambek","Viborg Stadion"
1991-03-16,"Brøndby IF","1-1","Silkeborg IF","12031","Claus Bo Larsen","Brøndby Stadion"
1991-03-16,"Ikast FS","1-1","FC København","2458","Jørn West Larsen","Ikast Stadion"
1991-03-16,"Lyngby FC","2-0","Næstved IF","1305","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"OB","3-1","Viborg FF","4100","Svend Erik Christensen","Odense Stadion"
1991-03-16,"Vejle BK","0-1","AGF","9433","Lars Gerner","Vejle Stadion"
1991-03-16,"AaB","4-0","Herfølge BK","5445","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"AGF","1-1","OB","19500","Knud Erik Fisker","Århus Stadion"
1991-03-16,"FC København","0-4","Brøndby IF","30891","Kim Milton Nielsen","Parken"
1991-03-16,"Næstved IF","0-4","Herfølge BK","2688","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"Vejle BK","5-0","Ikast FS","2931","Finn Lambek","Vejle Stadion"
1991-03-16,"Viborg FF","2-1","Silkeborg IF","2845","Anders H. Mosegaard","Viborg Stadion"
1991-03-16,"AaB","1-1","Lyngby FC","8500","Svend Erik Christensen","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-0","AaB","18302","Finn Lambek","Brøndby Stadion"
1991-03-16,"Herfølge BK","1-1","Vejle BK","1473","Jørn West Larsen","Herfølge Stadion"
1991-03-16,"Ikast FS","0-0","Viborg FF","2149","Svend Erik Christensen","Ikast Stadion"
1991-03-16,"Lyngby FC","0-2","AGF","6379","Claus Bo Larsen","Lyngby Stadion"
1991-03-16,"OB","2-1","FC København","6773","Knud Stadsgaard","Odense Stadion"
1991-03-16,"Silkeborg IF","1-1","Næstved IF","2878","Jørgen Johansen","Silkeborg Stadion"
1991-03-16,"AGF","3-2","Vejle BK","8698","Jørn West Larsen","Århus Stadion"
1991-03-16,"Brøndby IF","2-0","Herfølge BK","7488","Knud Erik Fisker","Parken"
1991-03-16,"Hvidovre IF","1-2","FC København","4638","Anders H. Mosegaard","Hvidovre Stadion"
1991-03-16,"Lyngby FC","6-1","AB","1648","Knud Stadsgaard","Lyngby Stadion"
1991-03-16,"OB","3-1","Viborg FF","3157","Jørgen Johansen","Odense Stadion"
1991-03-16,"AaB","1-1","Silkeborg IF","9600","Lars Gerner","Aalborg Stadion"
1991-03-16,"AB","1-1","AGF","965","Peter Mikkelsen","Gladsaxe Idrætspark"
1991-03-16,"FC København","2-3","Brøndby IF","21419","Kim Milton Nielsen","Parken"
1991-03-16,"Herfølge BK","2-0","Lyngby FC","830","Svend Erik Christensen","Herfølge Stadion"
1991-03-16,"Vejle BK","4-0","OB","3291","Anders H. Mosegaard","Vejle Stadion"
1991-03-16,"Viborg FF","0-5","AaB","3198","Claus Bo Larsen","Viborg Stadion"
1991-03-16,"Silkeborg IF","1-1","Hvidovre IF","2997","Jørn West Larsen","Silkeborg Stadion"
1991-03-16,"Lyngby FC","1-4","Brøndby IF","4535","Claus Bo Larsen","Lyngby Stadion"
1991-03-16,"OB","1-3","AB","2146","Lars Gerner","Odense Stadion"
1991-03-16,"Silkeborg IF","1-1","FC København","2725","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"AGF","3-0","Herfølge BK","6802","Knud Stadsgaard","Århus Stadion"
1991-03-16,"04.08.1996 15.00","Hvidovre IF","1-0","Viborg FF","1.708","Finn Lambek"
1991-03-16,"04.08.1996 15.00","AaB","2-1","Vejle BK","7.275","Jørgen Johansen"
1991-03-16,"11.08.1996 15.00","AB","1-3","AaB","1.276","Finn Lambek"
1991-03-16,"11.08.1996 15.00","Brøndby IF","2-0","AGF","11.391","Svend Erik Christensen"
1991-03-16,"11.08.1996 15.00","Herfølge BK","0-1","OB","1.501","Jørn West Larsen"
1991-03-16,"11.08.1996 15.00","Lyngby FC","0-2","FC København","4.279","Peter Mikkelsen"
1991-03-16,"11.08.1996 15.00","Vejle BK","2-2","Hvidovre IF","2.804","Steen Pedersen"
1991-03-16,"11.08.1996 15.00","Viborg FF","3-1","Silkeborg IF","2.039","Kim Milton Nielsen"
1991-03-16,"16.08.1996 19.00","AGF","3-4","Lyngby FC","5.772","Knud Erik Fisker"
1991-03-16,"16.08.1996 19.00","OB","1-2","Brøndby IF","7.513","Knud Stadsgaard"
1991-03-16,"16.08.1996 19.00","Silkeborg IF","2-0","Vejle BK","3.087","Claus Bo Larsen"
1991-03-16,"18.08.1996 15.00","FC København","1-1","Viborg FF","5.657","Lars Gerner"
1991-03-16,"18.08.1996 15.00","Hvidovre IF","0-0","AB","2.312","Svend Erik Christensen"
1991-03-16,"18.08.1996 15.00","AaB","4-0","Herfølge BK","7.175","Anders H. Mosegaard"
1991-03-16,"25.08.1996 15.00","AB","2-3","Silkeborg IF","842","Steen Pedersen"
1991-03-16,"25.08.1996 15.00","AGF","3-1","FC København","8.391","Finn Lambek"
1991-03-16,"25.08.1996 15.00","Brøndby IF","2-0","AaB","14.082","Peter Mikkelsen"
1991-03-16,"25.08.1996 15.00","Herfølge BK","1-0","Hvidovre IF","1.177","Jørgen Johansen"
1991-03-16,"25.08.1996 15.00","Lyngby FC","2-1","OB","1.464","Kim Milton Nielsen"
1991-03-16,"25.08.1996 15.00","Vejle BK","1-1","Viborg FF","2.701","Jørn West Larsen"
1991-03-16,"06.09.1996 19.00","Brøndby IF","1-1","Hvidovre IF","10.357","Claus Bo Larsen"
1991-03-16,"06.09.1996 19.00","OB","1-0","AGF","3.893","Peter Mikkelsen"
1991-03-16,"06.09.1996 19.00","Silkeborg IF","0-2","Herfølge BK","2.192","Kim Milton Nielsen"
1991-03-16,"06.09.1996 19.00","AaB","2-0","Lyngby FC","8.025","Lars Gerner"
1991-03-16,"08.09.1996 15.00","FC København","0-0","Vejle BK","6.108","Knud Stadsgaard"
1991-03-16,"08.09.1996 15.00","Viborg FF","1-1","AB","1.481","Knud Erik Fisker"
1991-03-16,"15.09.1996 15.00","AB","0-3","Vejle BK","884","Anders H. Mosegaard"
1991-03-16,"15.09.1996 15.00","AGF","6-1","AaB","11.240","Jørn West Larsen"
1991-03-16,"15.09.1996 15.00","Brøndby IF","2-1","Silkeborg IF","12.091","Jørgen Johansen"
1991-03-16,"15.09.1996 15.00","Herfølge BK","0-1","Viborg FF","1.038","Steen Pedersen"
1991-03-16,"15.09.1996 15.00","Lyngby FC","1-0","Hvidovre IF","1.615","Knud Erik Fisker"
1991-03-16,"15.09.1996 15.00","OB","3-3","FC København","5.001","Kim Milton Nielsen"
1991-03-16,"20.09.1996 19.00","Silkeborg IF","1-1","Lyngby FC","2.191","Steen Pedersen"
1991-03-16,"20.09.1996 19.00","Viborg FF","0-1","Brøndby IF","6.273","Kim Milton Nielsen"
1991-03-16,"20.09.1996 19.00","AaB","2-1","OB","8.050","Knud Erik Fisker"
1991-03-16,"22.09.1996 15.00","FC København","1-1","AB","5.748","Claus Bo Larsen"
1991-03-16,"22.09.1996 15.00","Hvidovre IF","3-2","AGF","2.295","Svend Erik Christensen"
1991-03-16,"22.09.1996 15.00","Vejle BK","0-0","Herfølge BK","2.520","Lars Gerner"
1991-03-16,"29.09.1996 15.00","AGF","6-1","Silkeborg IF","6.688","Anders H. Mosegaard"
1991-03-16,"29.09.1996 15.00","Brøndby IF","1-2","Vejle BK","9.550","Finn Lambek"
1991-03-16,"29.09.1996 15.00","Herfølge BK","2-1","AB","812","Svend Erik Christensen"
1991-03-16,"29.09.1996 15.00","Lyngby FC","0-3","Viborg FF","663","Jørgen Johansen"
1991-03-16,"29.09.1996 15.00","OB","2-1","Hvidovre IF","1.847","Lars Gerner"
1991-03-16,"29.09.1996 15.00","AaB","2-0","FC København","7.850","Steen Pedersen"
1991-03-16,"02.10.1996 19.00","FC København","0-1","Herfølge BK","3.883","Knud Erik Fisker"
1991-03-16,"04.10.1996 19.00","AB","1-1","Brøndby IF","4.784","Steen Pedersen"
1991-03-16,"04.10.1996 19.00","Hvidovre IF","1-2","AaB","1.846","Jørgen Johansen"
1991-03-16,"04.10.1996 19.00","Vejle BK","2-2","Lyngby FC","3.055","Anders H. Mosegaard"
1991-03-16,"04.10.1996 19.00","Viborg FF","2-5","AGF","4.730","Knud Erik Fisker"
1991-03-16,"06.10.1996 15.00","Silkeborg IF","2-2","OB","3.128","Finn Lambek"
1991-03-16,"11.10.1996 19.00","Brøndby IF","1-2","OB","10.955","Svend Erik Christensen"
1991-03-16,"13.10.1996 15.00","Herfølge BK","4-2","AaB","1.583","Claus Bo Larsen"
1991-03-16,"13.10.1996 15.00","Lyngby FC","3-1","AGF","1.852","Lars Gerner"
1991-03-16,"13.10.1996 15.00","Silkeborg IF","3-3","AB","2.544","Knud Erik Fisker"
1991-03-16,"13.10.1996 15.00","Vejle BK","3-0","FC København","4.222","Jørgen Johansen"
1991-03-16,"13.10.1996 15.00","Viborg FF","1-1","Hvidovre IF","1.463","Steen Pedersen"
1991-03-16,"20.10.1996 15.00","AGF","5-0","Viborg FF","7.465","Finn Lambek"
1991-03-16,"20.10.1996 15.00","FC København","1-2","Brøndby IF","28.491","Svend Erik Christensen"
1991-03-16,"20.10.1996 15.00","Hvidovre IF","0-1","Herfølge BK","5.789","Anders H. Mosegaard"
1991-03-16,"20.10.1996 15.00","Lyngby FC","3-2","AB","1.330","Jørn West Larsen"
1991-03-16,"20.10.1996 15.00","OB","6-0","Silkeborg IF","4.642","Jørgen Johansen"
1991-03-16,"20.10.1996 15.00","AaB","2-0","Vejle BK","8.775","Knud Stadsgaard"
1991-03-16,"25.10.1996 19.00","Brøndby IF","2-2","AaB","13.528","Lars Gerner"
1991-03-16,"27.10.1996 15.00","AB","2-2","OB","1.452","Steen Pedersen"
1991-03-16,"27.10.1996 15.00","Herfølge BK","0-1","AGF","3.038","Kim Milton Nielsen"
1991-03-16,"27.10.1996 15.00","Silkeborg IF","1-1","FC København","3.575","Claus Bo Larsen"
1991-03-16,"27.10.1996 15.00","Vejle BK","3-3","Hvidovre IF","2.542","Knud Erik Fisker"
1991-03-16,"27.10.1996 15.00","Viborg FF","1-1","Lyngby FC","1.208","Peter Mikkelsen"
1991-03-16,"03.11.1996 15.00","AGF","2-1","Vejle BK","9.421","Claus Bo Larsen"
1991-03-16,"03.11.1996 15.00","FC København","2-0","AB","6.429","Knud Stadsgaard"
1991-03-16,"03.11.1996 15.00","Hvidovre IF","2-3","Brøndby IF","8.052","Finn Lambek"
1991-03-16,"03.11.1996 15.00","Lyngby FC","1-4","OB","2.335","Anders H. Mosegaard"
1991-03-16,"03.11.1996 15.00","Viborg FF","2-0","Herfølge BK","1.129","Lars Gerner"
1991-03-16,"03.11.1996 15.00","AaB","0-0","Silkeborg IF","7.875","Jørn West Larsen"
1991-03-16,"06.11.1996 19.00","AB","3-1","AaB","585","Knud Erik Fisker"
1991-03-16,"06.11.1996 19.00","Brøndby IF","2-1","AGF","12.702","Peter Mikkelsen"
1991-03-16,"06.11.1996 19.00","Herfølge BK","0-3","Lyngby FC","1.002","Steen Pedersen"
1991-03-16,"06.11.1996 19.00","OB","4-1","FC København","4.602","Lars Gerner"
1991-03-16,"06.11.1996 19.00","Silkeborg IF","3-0","Hvidovre IF","1.750","Kim Milton Nielsen"
1991-03-16,"06.11.1996 19.00","Vejle BK","2-2","Viborg FF","1.822","Claus Bo Larsen"
1991-03-16,"15.11.1996 19.00","Viborg FF","1-1","Brøndby IF","3.831","Jørn West Larsen"
1991-03-16,"17.11.1996 15.00","AGF","2-2","Silkeborg IF","10.551","Steen Pedersen"
1991-03-16,"17.11.1996 15.00","Herfølge BK","3-0","Vejle BK","951","Finn Lambek"
1991-03-16,"17.11.1996 15.00","Hvidovre IF","1-1","AB","5.083","Claus Bo Larsen"
1991-03-16,"17.11.1996 15.00","Lyngby FC","2-0","FC København","3.852","Kim Milton Nielsen"
1991-03-16,"17.11.1996 15.00","AaB","1-1","OB","7.700","Peter Mikkelsen"
1991-03-16,"24.11.1996 15.00","AB","1-1","AGF","1.276","Lars Gerner"
1991-03-16,"24.11.1996 15.00","Brøndby IF","1-3","Herfølge BK","13.173","Knud Stadsgaard"
1991-03-16,"24.11.1996 15.00","FC København","1-1","AaB","6.968","Anders H. Mosegaard"
1991-03-16,"24.11.1996 15.00","OB","0-2","Hvidovre IF","4.617","Knud Erik Fisker"
1991-03-16,"24.11.1996 15.00","Silkeborg IF","0-0","Viborg FF","4.766","Svend Erik Christensen"
1991-03-16,"24.11.1996 15.00","Vejle BK","4-1","Lyngby FC","1.982","Jørgen Johansen"
1991-03-16,"14.03.1997 19.00","Vejle BK","3-0","Brøndby IF","7.531","Kim Milton Nielsen"
1991-03-16,"16.03.1997 15.00","AGF","2-2","OB","12.988","Knud Erik Fisker"
1991-03-16,"16.03.1997 15.00","Herfølge BK","1-1","Silkeborg IF","1.524","Peter Mikkelsen"
1991-03-16,"16.03.1997 15.00","Hvidovre IF","0-2","FC København","6.204","Jørgen Johansen"
1991-03-16,"16.03.1997 15.00","Lyngby FC","0-2","AaB","2.773","Jørn West Larsen"
1991-03-16,"16.03.1997 15.00","Viborg FF","0-1","AB","2.147","Finn Lambek"
1991-03-16,"21.03.1997 19.00","FC København","1-1","AGF","6.775","Kim Milton Nielsen"
1991-03-16,"23.03.1997 15.00","AB","2-2","Herfølge BK","1.150","Steen Pedersen"
1991-03-16,"23.03.1997 15.00","Brøndby IF","2-0","Lyngby FC","13.526","Lars Gerner"
1991-03-16,"23.03.1997 15.00","AaB","1-2","Hvidovre IF","6.950","Claus Bo Larsen"
1991-03-16,"01.04.1997 19.00","Silkeborg IF","1-1","Vejle BK","3.978","Anders H. Mosegaard"
1991-03-16,"02.04.1997 19.00","OB","2-1","Viborg FF","2.991","Jørn West Larsen"
1991-03-16,"04.04.1997 19.00","Brøndby IF","2-2","Silkeborg IF","9.137","Claus Bo Larsen"
1991-03-16,"06.04.1997 15.00","AGF","0-1","AaB","14.098","Knud Stadsgaard"
1991-03-16,"06.04.1997 15.00","Herfølge BK","1-1","OB","1.616","Jørgen Johansen"
1991-03-16,"06.04.1997 15.00","Viborg FF","1-0","FC København","1.331","Claus Bo Larsen"
1991-03-16,"08.04.1997 19.00","Lyngby FC","2-1","Hvidovre IF","1.253","Peter Mikkelsen"
1991-03-16,"08.04.1997 19.00","Vejle BK","1-0","AB","2.440","Jørn West Larsen"
1991-03-16,"11.04.1997 19.00","OB","0-2","Vejle BK","3.306","Lars Gerner"
1991-03-16,"13.04.1997 15.00","AB","2-2","Brøndby IF","4.986","Knud Erik Fisker"
1991-03-16,"13.04.1997 15.00","FC København","1-1","Herfølge BK","6.392","Finn Lambek"
1991-03-16,"13.04.1997 15.00","Hvidovre IF","2-2","AGF","1.855","Claus Bo Larsen"
1991-03-16,"13.04.1997 15.00","Silkeborg IF","3-1","Lyngby FC","2.494","Jørn West Larsen"
1991-03-16,"13.04.1997 15.00","AaB","3-1","Viborg FF","8.135","Anders H. Mosegaard"
1991-03-16,"18.04.1997 19.00","AaB","0-0","Lyngby FC","8.125","Knud Erik Fisker"
1991-03-16,"20.04.1997 15.00","AB","3-1","Viborg FF","1.311","Knud Stadsgaard"
1991-03-16,"20.04.1997 15.00","Brøndby IF","2-0","Vejle BK","10.940","Steen Pedersen"
1991-03-16,"20.04.1997 15.00","FC København","1-0","Hvidovre IF","6.874","Jørn West Larsen"
1991-03-16,"20.04.1997 15.00","OB","1-1","AGF","4.540","Finn Lambek"
1991-03-16,"20.04.1997 15.00","Silkeborg IF","1-0","Herfølge BK","2.944","Claus Bo Larsen"
1991-03-16,"25.04.1997 15.00","AGF","2-1","FC København","10.401","Anders H. Mosegaard"
1991-03-16,"25.04.1997 15.00","Herfølge BK","4-1","AB","1.652","Lars Gerner"
1991-03-16,"25.04.1997 15.00","Hvidovre IF","1-1","AaB","1.833","Knud Stadsgaard"
1991-03-16,"25.04.1997 15.00","Viborg FF","3-5","OB","2.054","Steen Pedersen"
1991-03-16,"25.04.1997 19.00","Lyngby FC","2-0","Brøndby IF","8.359","Jørgen Johansen"
1991-03-16,"27.04.1997 15.00","Vejle BK","2-1","Silkeborg IF","4.638","Finn Lambek"
1991-03-16,"02.05.1997 19.00","AaB","1-1","AGF","10.775","Claus Bo Larsen"
1991-03-16,"04.05.1997 15.00","AB","2-3","Vejle BK","1.894","Jørgen Johansen"
1991-03-16,"04.05.1997 15.00","FC København","2-1","Viborg FF","6.201","Knud Erik Fisker"
1991-03-16,"04.05.1997 15.00","Hvidovre IF","2-2","Lyngby FC","1.937","Steen Pedersen"
1991-03-16,"04.05.1997 15.00","OB","2-3","Herfølge BK","3.659","Jørn West Larsen"
1991-03-16,"04.05.1997 15.00","Silkeborg IF","2-2","Brøndby IF","8.791","Knud Stadsgaard"
1991-03-16,"09.05.1997 19.00","Viborg FF","1-0","AaB","3.493","Lars Gerner                               
                              / 
                              Henning Knudsen"
1991-03-16,"11.05.1997 15.00","AGF","3-2","Hvidovre IF","7.400","Knud Erik Fisker"
1991-03-16,"11.05.1997 15.00","Brøndby IF","3-2","AB","11.856","Peter Mikkelsen"
1991-03-16,"11.05.1997 15.00","Herfølge BK","4-0","FC København","3.297","Finn Lambek"
1991-03-16,"11.05.1997 15.00","Lyngby FC","1-4","Silkeborg IF","1.548","Anders H. Mosegaard"
1991-03-16,"11.05.1997 15.00","Vejle BK","4-1","OB","5.513","Kim Milton Nielsen"
1991-03-16,"15.05.1997 19.00","AB","4-3","Silkeborg IF","1.350","Knud Erik Fisker"
1991-03-16,"15.05.1997 19.00","AGF","4-2","Lyngby FC","8.425","Knud Stadsgaard"
1991-03-16,"15.05.1997 19.00","FC København","1-1","Vejle BK","6.289","Steen Pedersen"
1991-03-16,"15.05.1997 19.00","Hvidovre IF","0-0","Viborg FF","1.676","Peter Mikkelsen"
1991-03-16,"15.05.1997 19.00","OB","0-3","Brøndby IF","6.379","Svend Erik Christensen"
1991-03-16,"15.05.1997 19.00","AaB","0-1","Herfølge BK","6.975","Jørgen Johansen"
1991-03-16,"19.05.1997 15.00","AB","2-2","Lyngby FC","2.778","Claus Bo Larsen"
1991-03-16,"19.05.1997 15.00","Herfølge BK","4-3","Hvidovre IF","2.466","Anders H. Mosegaard"
1991-03-16,"19.05.1997 15.00","Silkeborg IF","2-1","OB","4.385","Peter Mikkelsen"
