"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"Brøndby IF","1-3","B 1903","7331","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"Lyngby BK","4-0","Næstved IF","1450","Carl Laursen","Lyngby Stadion"
1991-03-16,"AaB","0-0","Silkeborg IF","7100","John P. Nielsen","Aalborg Stadion"
1991-03-16,"B 1903","6-0","AaB","2409","Arne Hansen","Gentofte Stadion"
1991-03-16,"BK Frem","0-1","Lyngby BK","4722","John P. Nielsen","Valby Idrætspark"
1991-03-16,"Næstved IF","0-1","Brøndby IF","2631","Finn Lambek","Næstved Stadion"
1991-03-16,"Silkeborg IF","3-1","AGF","3342","Peter Mikkelsen","Silkeborg Stadion"
1991-03-16,"AGF","1-0","B 1903","5500","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"Brøndby IF","4-2","AaB","5301","Kaj Østergaard","Brøndby Stadion"
1991-03-16,"Lyngby BK","3-0","Silkeborg IF","5856","Jan Damgaard","Lyngby Stadion"
1991-03-16,"Næstved IF","2-2","BK Frem","1725","Arne Paltoft","Næstved Stadion"
1991-03-16,"B 1903","0-1","Lyngby BK","10787","Jan Damgaard","Gentofte Stadion"
1991-03-16,"BK Frem","3-1","Brøndby IF","5994","Carl Laursen","Valby Idrætspark"
1991-03-16,"Silkeborg IF","1-1","Næstved IF","1948","Kaj Østergaard","Silkeborg Stadion"
1991-03-16,"AaB","2-1","AGF","4700","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"AGF","1-0","Lyngby BK","4500","Svend Erik Christensen","Århus Stadion"
1991-03-16,"B 1909","0-0","Silkeborg IF","1971","Lars Gerner","Odense Stadion"
1991-03-16,"BK Frem","0-3","FC København","4391","Peter Mikkelsen","Valby Idrætspark"
1991-03-16,"Næstved IF","0-4","OB","5501","Kim Milton Nielsen","Næstved Stadion"
1991-03-16,"AaB","3-0","Brøndby IF","7000","Finn Lambek","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-3","BK Frem","5192","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"FC København","2-1","B 1909","4035","Kaj Østergaard","Østerbro Stadion"
1991-03-16,"Lyngby BK","0-2","AaB","1594","Arne Paltoft","Lyngby Stadion"
1991-03-16,"OB","3-2","AGF","5002","John P. Nielsen","Odense Stadion"
1991-03-16,"Silkeborg IF","4-0","Næstved IF","1978","Peter Mikkelsen","Silkeborg Stadion"
1991-03-16,"B 1909","1-2","Brøndby IF","2487","Peter Mikkelsen","Odense Stadion"
1991-03-16,"BK Frem","0-0","Lyngby BK","2599","Kaj Østergaard","Valby Idrætspark"
1991-03-16,"Næstved IF","0-2","FC København","2157","John P. Nielsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","0-1","OB","2809","Finn Lambek","Silkeborg Stadion"
1991-03-16,"AaB","3-2","AGF","9300","Lars Gerner","Aalborg Stadion"
1991-03-16,"AGF","1-1","BK Frem","4300","Arne Hansen","Århus Stadion"
1991-03-16,"Brøndby IF","2-1","Næstved IF","3721","Arne Paltoft","Brøndby Stadion"
1991-03-16,"FC København","0-0","Silkeborg IF","3667","Svend Erik Christensen","Østerbro Stadion"
1991-03-16,"Lyngby BK","3-1","B 1909","1330","John P. Nielsen","Lyngby Stadion"
1991-03-16,"OB","4-1","AaB","7167","Kaj Østergaard","Odense Stadion"
1991-03-16,"B 1909","0-4","AGF","2192","Svend Erik Christensen                               
                              / 
                              Arne Hansen","Odense Stadion"
1991-03-16,"FC København","1-1","OB","8759","Carl Laursen","Østerbro Stadion"
1991-03-16,"BK Frem","1-1","AaB","2081","Lars Gerner","Valby Idrætspark"
1991-03-16,"Næstved IF","2-1","Lyngby BK","2019","Finn Lambek","Næstved Stadion"
1991-03-16,"Silkeborg IF","3-0","Brøndby IF","3330","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"AGF","0-1","Næstved IF","4900","Jan Damgaard","Århus Stadion"
1991-03-16,"Brøndby IF","1-1","FC København","8845","John P. Nielsen","Brøndby Stadion"
1991-03-16,"Lyngby BK","1-1","Silkeborg IF","1150","Peter Mikkelsen","Lyngby Stadion"
1991-03-16,"OB","5-0","BK Frem","5234","Arne Paltoft","Odense Stadion"
1991-03-16,"AaB","2-0","B 1909","4800","Arne Paltoft","Aalborg Stadion"
1991-03-16,"B 1909","1-1","BK Frem","1005","Kaj Østergaard","Odense Stadion"
1991-03-16,"FC København","2-2","Lyngby BK","11152","Arne Paltoft","Parken"
1991-03-16,"Silkeborg IF","1-1","AGF","3272","Carl Laursen","Silkeborg Stadion"
1991-03-16,"Brøndby IF","2-0","OB","9315","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"Næstved IF","2-2","AaB","2414","Lars Gerner","Næstved Stadion"
1991-03-16,"AGF","0-0","FC København","8600","Kaj Østergaard","Århus Stadion"
1991-03-16,"BK Frem","3-1","Næstved IF","2266","Arne Hansen","Valby Idrætspark"
1991-03-16,"Lyngby BK","0-2","Brøndby IF","5362","Carl Laursen","Lyngby Stadion"
1991-03-16,"OB","2-0","B 1909","15331","Jan Damgaard","Odense Stadion"
1991-03-16,"AaB","1-2","Silkeborg IF","7500","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","0-0","AGF","4638","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"FC København","0-0","AaB","6848","Kim Milton Nielsen","Parken"
1991-03-16,"OB","0-0","Lyngby BK","3560","Finn Lambek","Odense Stadion"
1991-03-16,"Silkeborg IF","4-0","BK Frem","2121","Jan Damgaard","Silkeborg Stadion"
1991-03-16,"Næstved IF","2-2","B 1909","2644","Carl Laursen","Næstved Stadion"
1991-03-16,"AGF","0-1","Brøndby IF","7100","Peter Mikkelsen","Århus Stadion"
1991-03-16,"B 1909","2-2","Næstved IF","1362","Kaj Østergaard","Odense Stadion"
1991-03-16,"BK Frem","2-2","Silkeborg IF","1901","Finn Lambek","Valby Idrætspark"
1991-03-16,"Lyngby BK","0-1","OB","2060","Lars Gerner","Lyngby Stadion"
1991-03-16,"AaB","0-1","FC København","10000","Svend Erik Christensen","Aalborg Stadion"
1991-03-16,"Brøndby IF","0-0","AaB","5201","Arne Hansen","Brøndby Stadion"
1991-03-16,"FC København","5-1","BK Frem","12300","Jan Damgaard","Parken"
1991-03-16,"Lyngby BK","1-1","AGF","3649","Finn Lambek","Lyngby Stadion"
1991-03-16,"OB","4-1","Næstved IF","4236","John P. Nielsen","Odense Stadion"
1991-03-16,"Silkeborg IF","6-0","B 1909","2740","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"AGF","3-2","OB","4100","Arne Paltoft","Århus Stadion"
1991-03-16,"B 1909","2-4","FC København","821","Peter Mikkelsen","Odense Stadion"
1991-03-16,"BK Frem","2-2","Brøndby IF","3579","Kim Milton Nielsen","Valby Idrætspark"
1991-03-16,"Næstved IF","3-1","Silkeborg IF","1932","Arne Hansen","Næstved Stadion"
1991-03-16,"AaB","1-2","Lyngby BK","4500","Jan Damgaard","Aalborg Stadion"
1991-03-16,"AGF","1-1","AaB","6400","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"Brøndby IF","1-1","B 1909","6804","Jan Damgaard","Brøndby Stadion"
1991-03-16,"FC København","0-3","Næstved IF","6649","Carl Laursen","Parken"
1991-03-16,"Lyngby BK","2-1","BK Frem","2274","Kaj Østergaard","Lyngby Stadion"
1991-03-16,"OB","0-3","Silkeborg IF","4874","Svend Erik Christensen","Odense Stadion"
1991-03-16,"BK Frem","1-2","AGF","1548","Jan Damgaard","Valby Idrætspark"
1991-03-16,"Silkeborg IF","1-2","FC København","5557","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"B 1909","1-4","Lyngby BK","792","John P. Nielsen","Odense Stadion"
1991-03-16,"Næstved IF","1-1","Brøndby IF","4181","Arne Hansen","Næstved Stadion"
1991-03-16,"AaB","0-0","OB","4800","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"AGF","1-1","B 1909","4000","Lars Gerner","Århus Stadion"
1991-03-16,"Brøndby IF","2-0","Silkeborg IF","8018","Carl Laursen","Brøndby Stadion"
1991-03-16,"Lyngby BK","1-1","Næstved IF","2319","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"OB","0-2","FC København","8808","Finn Lambek","Odense Stadion"
1991-03-16,"AaB","3-0","BK Frem","4000","John P. Nielsen","Aalborg Stadion"
1991-03-16,"B 1909","1-2","AaB","484","Kaj Østergaard","Odense Stadion"
1991-03-16,"FC København","0-0","Brøndby IF","13800","Svend Erik Christensen","Parken"
1991-03-16,"BK Frem","2-1","OB","959","Carl Laursen","Valby Idrætspark"
1991-03-16,"Næstved IF","2-3","AGF","2729","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","2-0","Lyngby BK","2071","Arne Hansen","Silkeborg Stadion"
1991-03-16,"AGF","1-0","Silkeborg IF","5500","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"BK Frem","3-1","B 1909","1559","John P. Nielsen","Valby Idrætspark"
1991-03-16,"Lyngby BK","1-1","FC København","3500","Lars Gerner","Lyngby Stadion"
1991-03-16,"OB","2-0","Brøndby IF","3628","Peter Mikkelsen","Odense Stadion"
1991-03-16,"AaB","1-1","Næstved IF","4500","Finn Lambek","Aalborg Stadion"
1991-03-16,"B 1909","0-1","OB","4388","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"Brøndby IF","2-2","Lyngby BK","5522","Finn Lambek","Brøndby Stadion"
1991-03-16,"FC København","3-1","AGF","2968","Arne Hansen","Gentofte Stadion"
1991-03-16,"Næstved IF","2-2","BK Frem","10981","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","0-2","AaB","2267","Svend Erik Christensen","Silkeborg Stadion"
1991-03-16,"AGF","2-2","OB","6700","Finn Lambek","Århus Stadion"
1991-03-16,"Brøndby IF","3-1","Silkeborg IF","5866","Lars Gerner","Brøndby Stadion"
1991-03-16,"Lyngby BK","0-2","FC København","2385","Carl Laursen","Lyngby Stadion"
1991-03-16,"Næstved IF","1-1","AaB","1788","Arne Hansen","Næstved Stadion"
1991-03-16,"FC København","3-1","AGF","5145","Peter Mikkelsen","Østerbro Stadion"
1991-03-16,"OB","2-0","Næstved IF","4058","Jan Damgaard","Odense Stadion"
1991-03-16,"Silkeborg IF","1-0","Lyngby BK","2651","Kaj Østergaard","Silkeborg Stadion"
1991-03-16,"AaB","1-1","Brøndby IF","9500","Kim Milton Nielsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","0-1","OB","7288","Carl Laursen","Brøndby Stadion"
1991-03-16,"Lyngby BK","1-0","AaB","864","Finn Lambek","Lyngby Stadion"
1991-03-16,"Næstved IF","1-3","AGF","1743","John P. Nielsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","1-1","FC København","3654","Svend Erik Christensen","Silkeborg Stadion"
1991-03-16,"AGF","1-3","Brøndby IF","9300","Arne Hansen","Århus Stadion"
1991-03-16,"FC København","2-0","Næstved IF","2772","Kim Milton Nielsen","Gentofte Stadion"
1991-03-16,"OB","2-0","Lyngby BK","4175","Lars Gerner","Odense Stadion"
1991-03-16,"AaB","1-1","Silkeborg IF","5800","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-3","Næstved IF","5381","Kaj Østergaard","Brøndby Stadion"
1991-03-16,"Lyngby BK","0-3","AGF","1738","Svend Erik Christensen","Lyngby Stadion"
1991-03-16,"Silkeborg IF","4-0","OB","3905","John P. Nielsen","Silkeborg Stadion"
1991-03-16,"AaB","1-3","FC København","6700","Jan Damgaard","Aalborg Stadion"
1991-03-16,"AGF","2-0","Silkeborg IF","11200","Carl Laursen","Århus Stadion"
1991-03-16,"FC København","0-4","Brøndby IF","16864","Finn Lambek","Parken"
1991-03-16,"Næstved IF","3-1","Lyngby BK","2047","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"OB","0-0","AaB","4669","Ole Blom Christensen","Odense Stadion"
1991-03-16,"FC København","3-1","OB","11975","Svend Erik Christensen","Parken"
1991-03-16,"Lyngby BK","0-2","Brøndby IF","7006","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Silkeborg IF","2-2","Næstved IF","2754","Arne Hansen","Silkeborg Stadion"
1991-03-16,"AaB","2-1","AGF","5900","Lars Gerner","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-1","AGF","7106","Jan Damgaard","Brøndby Stadion"
1991-03-16,"Lyngby BK","0-1","OB","1004","Kaj Østergaard","Lyngby Stadion"
1991-03-16,"Næstved IF","0-3","FC København","3245","Lars Gerner","Næstved Stadion"
1991-03-16,"Silkeborg IF","0-2","AaB","2902","Finn Lambek","Silkeborg Stadion"
1991-03-16,"AGF","1-1","Næstved IF","5000","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"FC København","0-0","Silkeborg IF","7909","Ole Blom Christensen","Parken"
1991-03-16,"OB","0-0","Brøndby IF","7847","Peter Mikkelsen","Odense Stadion"
1991-03-16,"AaB","1-1","Lyngby BK","5300","John P. Nielsen","Aalborg Stadion"
1991-03-16,"AGF","3-5","FC København","9600","Arne Hansen","Århus Stadion"
1991-03-16,"Brøndby IF","5-0","AaB","6808","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"Lyngby BK","1-2","Silkeborg IF","1061","Lars Gerner","Lyngby Stadion"
1991-03-16,"Næstved IF","1-3","OB","1775","Carl Laursen","Næstved Stadion"
1991-03-16,"FC København","2-2","Lyngby BK","7253","Peter Mikkelsen","Parken"
1991-03-16,"OB","2-1","AGF","4194","John P. Nielsen","Odense Stadion"
1991-03-16,"Silkeborg IF","0-2","Brøndby IF","4366","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"AaB","4-2","Næstved IF","3500","Kaj Østergaard","Aalborg Stadion"
1991-03-16,"AGF","2-1","AaB","5800","Peter Mikkelsen","Århus Stadion"
1991-03-16,"Brøndby IF","0-4","Lyngby BK","6682","Jan Damgaard","Brøndby Stadion"
1991-03-16,"Næstved IF","1-4","Silkeborg IF","1293","Lars Gerner","Næstved Stadion"
1991-03-16,"OB","2-0","FC København","12771","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"Brøndby IF","2-3","FC København","18270","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"Lyngby BK","5-0","Næstved IF","1003","Carl Laursen","Lyngby Stadion"
1991-03-16,"Silkeborg IF","0-0","AGF","5528","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"AaB","3-1","OB","6200","Jan Damgaard","Aalborg Stadion"
1991-03-16,"AGF","3-7","Lyngby BK","3500","Kaj Østergaard","Århus Stadion"
1991-03-16,"FC København","4-6","AaB","22862","Svend Erik Christensen","Parken"
1991-03-16,"Næstved IF","1-2","Brøndby IF","1313","Kim Milton Nielsen","Næstved Stadion"
1991-03-16,"OB","2-1","Silkeborg IF","3969","Peter Mikkelsen","Odense Stadion"
1991-03-16,"FC København","2-0","AGF","6010","Jan Damgaard","Parken"
1991-03-16,"Lyngby BK","0-0","OB","1466","Lars Gerner","Lyngby Stadion"
1991-03-16,"Næstved IF","1-2","Brøndby IF","4283","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","2-2","AaB","3005","Finn Lambek","Silkeborg Stadion"
1991-03-16,"Viborg FF","3-1","Ikast FS","4622","Svend Erik Christensen","Viborg Stadion"
1991-03-16,"AGF","1-2","Silkeborg IF","6600","Peter Mikkelsen","Århus Stadion"
1991-03-16,"Brøndby IF","0-1","FC København","14460","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"Ikast FS","1-1","Lyngby BK","2305","Kaj Østergaard","Ikast Stadion"
1991-03-16,"OB","3-1","Næstved IF","3405","John P. Nielsen","Odense Stadion"
1991-03-16,"AaB","2-2","Viborg FF","6100","Carl Laursen","Aalborg Stadion"
1991-03-16,"FC København","0-1","OB","4628","Finn Lambek","Parken"
1991-03-16,"AGF","2-1","AaB","4900","Lars Gerner","Århus Stadion"
1991-03-16,"Lyngby BK","2-0","Viborg FF","1600","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Næstved IF","3-2","Ikast FS","2339","Knud Erik Fisker","Næstved Stadion"
1991-03-16,"Silkeborg IF","4-2","Brøndby IF","4060","Peter Mikkelsen","Silkeborg Stadion"
1991-03-16,"Ikast FS","2-3","FC København","4064","Arne Hansen","Ikast Stadion"
1991-03-16,"Viborg FF","5-2","Næstved IF","2610","Lars Gerner","Viborg Stadion"
1991-03-16,"AaB","3-0","Lyngby BK","4300","Svend Erik Christensen","Aalborg Stadion"
1991-03-16,"OB","2-0","Silkeborg IF","6611","Kaj Østergaard","Odense Stadion"
